;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V),M1(V)
286,-0.003714,0.910374,0.906166,0.00390625
287,-0.003713,0.910374,0.906166,0.00390625
288,-0.003712,0.905495,0.902891,0.00292969
289,-0.003711,0.905495,0.899616,0.00683594
290,-0.00371,0.902243,0.896341,0.00683594
291,-0.003709,0.902243,0.896341,0.00683594
292,-0.003708,0.900617,0.897978,0.00292969
293,-0.003707,0.900617,0.897978,0.00292969
294,-0.003706,0.897364,0.894703,0.00292969
295,-0.003705,0.897364,0.891428,0.00683594
296,-0.003704,0.894111,0.888153,0.00683594
297,-0.003703,0.892485,0.891428,0.000976563
298,-0.003702,0.892485,0.886515,0.00683594
299,-0.003701,0.890859,0.886515,0.00390625
300,-0.0037,0.889232,0.884878,0.00390625
301,-0.003699,0.887606,0.881602,0.00683594
302,-0.003698,0.882727,0.878327,0.00390625
303,-0.003697,0.881101,0.878327,0.00292969
304,-0.003696,0.879475,0.875052,0.00390625
305,-0.003695,0.877848,0.875052,0.00292969
306,-0.003694,0.876222,0.873414,0.00292969
307,-0.003693,0.876222,0.870139,0.00683594
308,-0.003692,0.872969,0.866864,0.00683594
309,-0.003691,0.869717,0.866864,0.00292969
310,-0.00369,0.869717,0.863589,0.00683594
311,-0.003689,0.864838,0.861951,0.00292969
312,-0.003688,0.864838,0.860314,0.00390625
313,-0.003687,0.859959,0.857039,0.00292969
314,-0.003686,0.861585,0.857039,0.00390625
315,-0.003685,0.856706,0.853764,0.00390625
316,-0.003684,0.853454,0.850488,0.00390625
317,-0.003683,0.851828,0.848851,0.00390625
318,-0.003682,0.850201,0.847213,0.00390625
319,-0.003681,0.846949,0.8423,0.00390625
320,-0.00368,0.846949,0.8423,0.00390625
321,-0.003679,0.84207,0.840663,0.000976563
322,-0.003678,0.838817,0.837388,0.000976563
323,-0.003677,0.835564,0.834113,0.000976563
324,-0.003676,0.835564,0.827562,0.0078125
325,-0.003675,0.830686,0.825925,0.00390625
326,-0.003674,0.830686,0.825925,0.00390625
327,-0.003673,0.827433,0.82265,0.00390625
328,-0.003672,0.825807,0.821012,0.00390625
329,-0.003671,0.822554,0.817737,0.00390625
330,-0.00367,0.819301,0.814462,0.00390625
331,-0.003669,0.814423,0.811186,0.00390625
332,-0.003668,0.81117,0.806274,0.00488281
333,-0.003667,0.809544,0.806274,0.00390625
334,-0.003666,0.807917,0.804636,0.00390625
335,-0.003665,0.806291,0.799723,0.00683594
336,-0.003664,0.801412,0.798086,0.00390625
337,-0.003663,0.79816,0.793173,0.00488281
338,-0.003662,0.793281,0.789898,0.00390625
339,-0.003661,0.791654,0.78826,0.00390625
340,-0.00366,0.788402,0.784985,0.00390625
341,-0.003659,0.786775,0.78171,0.00488281
342,-0.003658,0.785149,0.78171,0.00390625
343,-0.003657,0.781897,0.77516,0.00683594
344,-0.003656,0.775391,0.773522,0.000976563
345,-0.003655,0.772139,0.766972,0.00488281
346,-0.003654,0.76726,0.763697,0.00390625
347,-0.003653,0.765634,0.760422,0.00488281
348,-0.003652,0.762381,0.760422,0.00292969
349,-0.003651,0.760755,0.755509,0.00488281
350,-0.00365,0.757502,0.752234,0.00488281
351,-0.003649,0.752623,0.748959,0.00390625
352,-0.003648,0.74937,0.744046,0.00488281
