;Scopy version,6fa2c03
;Exported on,Wednesday September 25/09/2019
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+07
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
275,-0.0001325,1.48426,0.594475
276,-0.0001324,1.48581,0.608572
277,-0.0001323,1.48892,0.624235
278,-0.0001322,1.48892,0.636766
279,-0.0001321,1.48892,0.652429
280,-0.000132,1.49048,0.668092
281,-0.0001319,1.49203,0.683756
282,-0.0001318,1.49514,0.697852
283,-0.0001317,1.49514,0.710383
284,-0.0001316,1.49825,0.727612
285,-0.0001315,1.4998,0.740143
286,-0.0001314,1.50136,0.755806
287,-0.0001313,1.50136,0.771469
288,-0.0001312,1.50446,0.785566
289,-0.0001311,1.50602,0.799663
290,-0.000131,1.50602,0.815327
291,-0.0001309,1.50913,0.83099
292,-0.0001308,1.50913,0.845087
293,-0.0001307,1.51068,0.86075
294,-0.0001306,1.51379,0.874847
295,-0.0001305,1.51379,0.89051
296,-0.0001304,1.51379,0.90304
297,-0.0001303,1.51845,0.918704
298,-0.0001302,1.51845,0.934367
299,-0.0001301,1.52001,0.948464
300,-0.00013,1.51845,0.964127
301,-0.0001299,1.52311,0.97979
302,-0.0001298,1.52622,0.995453
303,-0.0001297,1.52467,1.00798
304,-0.0001296,1.52467,1.02521
305,-0.0001295,1.52467,1.04401
306,-0.0001294,1.52467,1.05967
307,-0.0001293,1.52467,1.07534
308,-0.0001292,1.52778,1.091
309,-0.0001291,1.52778,1.10666
310,-0.000129,1.52622,1.12233
311,-0.0001289,1.52933,1.13799
312,-0.0001288,1.52622,1.15678
313,-0.0001287,1.52622,1.17088
314,-0.0001286,1.52933,1.18028
315,-0.0001285,1.52622,1.18811
316,-0.0001284,1.52622,1.19438
317,-0.0001283,1.52622,1.19908
318,-0.0001282,1.52778,1.19751
319,-0.0001281,1.52778,1.20064
320,-0.000128,1.52778,1.20221
321,-0.0001279,1.52778,1.20691
322,-0.0001278,1.52467,1.21317
323,-0.0001277,1.52622,1.21944
324,-0.0001276,1.52622,1.22727
325,-0.0001275,1.52778,1.23667
326,-0.0001274,1.52622,1.24606
327,-0.0001273,1.52622,1.2539
328,-0.0001272,1.52778,1.26486
329,-0.0001271,1.52622,1.27269
330,-0.000127,1.52778,1.28522
331,-0.0001269,1.52778,1.29149
332,-0.0001268,1.52778,1.30245
333,-0.0001267,1.52933,1.31342
334,-0.0001266,1.52467,1.32125
335,-0.0001265,1.52778,1.33378
336,-0.0001264,1.52933,1.34318
337,-0.0001263,1.52778,1.35414
338,-0.0001262,1.52467,1.36197
339,-0.0001261,1.52622,1.37137
340,-0.000126,1.52622,1.38233
341,-0.0001259,1.52778,1.39173
342,-0.0001258,1.52467,1.40113
343,-0.0001257,1.52622,1.41209
344,-0.0001256,1.52622,1.42149
345,-0.0001255,1.52622,1.43246
346,-0.0001254,1.52933,1.44185
347,-0.0001253,1.52933,1.45282
348,-0.0001252,1.52778,1.46378
349,-0.0001251,1.52778,1.47005
350,-0.000125,1.52778,1.48415
351,-0.0001249,1.52778,1.49198
352,-0.0001248,1.52778,1.50294
353,-0.0001247,1.52778,1.51391
354,-0.0001246,1.52778,1.52174
355,-0.0001245,1.52933,1.53427
356,-0.0001244,1.52778,1.54523
357,-0.0001243,1.52778,1.5515
358,-0.0001242,1.52778,1.56403
359,-0.0001241,1.52778,1.57343
360,-0.000124,1.53089,1.58282
361,-0.0001239,1.52933,1.59222
362,-0.0001238,1.52933,1.60475
363,-0.0001237,1.52933,1.61258
364,-0.0001236,1.52933,1.62511
365,-0.0001235,1.52933,1.63451
366,-0.0001234,1.52933,1.64234
