;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
877,-0.003123,-0.681775
878,-0.003122,-0.680149
879,-0.003121,-0.673644
880,-0.00312,-0.668765
881,-0.003119,-0.66226
882,-0.003118,-0.657381
883,-0.003117,-0.655754
884,-0.003116,-0.652502
885,-0.003115,-0.647623
886,-0.003114,-0.64437
887,-0.003113,-0.637865
888,-0.003112,-0.629734
889,-0.003111,-0.626481
890,-0.00311,-0.623228
891,-0.003109,-0.619976
892,-0.003108,-0.615097
893,-0.003107,-0.608592
894,-0.003106,-0.603713
895,-0.003105,-0.597207
896,-0.003104,-0.592329
897,-0.003103,-0.589076
898,-0.003102,-0.585823
899,-0.003101,-0.580944
900,-0.0031,-0.574439
901,-0.003099,-0.56956
902,-0.003098,-0.563055
903,-0.003097,-0.559803
904,-0.003096,-0.554924
905,-0.003095,-0.551671
906,-0.003094,-0.546792
907,-0.003093,-0.540287
908,-0.003092,-0.533782
909,-0.003091,-0.528903
910,-0.00309,-0.524024
911,-0.003089,-0.517519
912,-0.003088,-0.515892
913,-0.003087,-0.509387
914,-0.003086,-0.502882
915,-0.003085,-0.496377
916,-0.003084,-0.491498
917,-0.003083,-0.486619
918,-0.003082,-0.483366
919,-0.003081,-0.478487
920,-0.00308,-0.471982
921,-0.003079,-0.46873
922,-0.003078,-0.458972
923,-0.003077,-0.455719
924,-0.003076,-0.45084
925,-0.003075,-0.445961
926,-0.003074,-0.439456
927,-0.003073,-0.434577
928,-0.003072,-0.428072
929,-0.003071,-0.423193
930,-0.00307,-0.416688
931,-0.003069,-0.410183
932,-0.003068,-0.40693
933,-0.003067,-0.402051
934,-0.003066,-0.397172
935,-0.003065,-0.389041
936,-0.003064,-0.380909
937,-0.003063,-0.377657
938,-0.003062,-0.374404
939,-0.003061,-0.366273
940,-0.00306,-0.36302
941,-0.003059,-0.356515
942,-0.003058,-0.35001
943,-0.003057,-0.341878
944,-0.003056,-0.338625
945,-0.003055,-0.335373
946,-0.003054,-0.328868
947,-0.003053,-0.322362
948,-0.003052,-0.315857
949,-0.003051,-0.309352
950,-0.00305,-0.302847
951,-0.003049,-0.297968
952,-0.003048,-0.294715
953,-0.003047,-0.28821
954,-0.003046,-0.281705
955,-0.003045,-0.2752
956,-0.003044,-0.267068
957,-0.003043,-0.263816
958,-0.003042,-0.25731
959,-0.003041,-0.252432
960,-0.00304,-0.245926
961,-0.003039,-0.239421
962,-0.003038,-0.234542
963,-0.003037,-0.226411
964,-0.003036,-0.219905
965,-0.003035,-0.215027
966,-0.003034,-0.211774
967,-0.003033,-0.203642
968,-0.003032,-0.197137
969,-0.003031,-0.190632
970,-0.00303,-0.184127
971,-0.003029,-0.180874
972,-0.003028,-0.174369
973,-0.003027,-0.16949
974,-0.003026,-0.162985
975,-0.003025,-0.15648
976,-0.003024,-0.149974
977,-0.003023,-0.143469
978,-0.003022,-0.136964
979,-0.003021,-0.132085
980,-0.00302,-0.12558
981,-0.003019,-0.120701
982,-0.003018,-0.114196
983,-0.003017,-0.107691
984,-0.003016,-0.0979328
985,-0.003015,-0.0963065
986,-0.003014,-0.0898013
987,-0.003013,-0.0849224
988,-0.003012,-0.0751646
989,-0.003011,-0.0735383
990,-0.00301,-0.0637805
991,-0.003009,-0.0572753
992,-0.003008,-0.0507701
993,-0.003007,-0.0475175
994,-0.003006,-0.0426386
995,-0.003005,-0.0361333
996,-0.003004,-0.0296281
997,-0.003003,-0.0214966
998,-0.003002,-0.0149914
999,-0.003001,-0.00848621
1000,-0.003,-0.001981
1001,-0.002999,0.0012716
